Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes), Funding Received (USD) ,Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km),Urban_Rural
Western Uganda,Uganda,4827,Western Facility 654,Health Center,22,18,13,2754,37,"161,395",No,Yes,90.2,10.7,Rural
Eastern Rwanda,Rwanda,5482,Eastern Facility 655,Hospital,10,10,41,10170,31,"154,673",No,No,61.9,10.5,Urban
Western Uganda,Uganda,2161,Western Facility 656,Health Center,76,12,45,2147,44,"31,818",Yes,No,92.4,15.2,Rural
Western Kenya,Kenya,8659,Western Facility 657,Health Center,60,17,49,8657,59,"55,017",No,No,93.8,9.1,Urban
Eastern Ethiopia,Ethiopia,8759,Eastern Facility 658,Health Center,97,20,30,14481,29,"38,585",Yes,No,71.2,19.5,Urban
Dar es Salaam,Tanzania,1124,Dar Facility 659,Clinic,42,10,32,9948,28,"72,889",No,Yes,60.5,18.6,Rural
Central Malawi,Malawi,9770,Central Facility 660,Health Center,79,18,23,19347,24,"14,122",Yes,Yes,64.5,11.7,Urban
Western Kenya,Kenya,2794,Western Facility 661,Clinic,55,8,9,15666,31,"153,731",Yes,Yes,84.4,14.5,Rural
Western Uganda,Uganda,5337,Western Facility 662,Clinic,40,4,42,8311,18,"65,700",Yes,Yes,79.1,7.8,Urban
Northern Ghana,Ghana,1111,Northern Facility 663,Hospital,57,8,26,4675,53,"120,464",Yes,Yes,85.1,6.8,Rural
Western Uganda,Uganda,8231,Western Facility 664,Clinic,51,2,48,11795,55,"64,882",Yes,Yes,91.8,4.7,Urban
Western Kenya,Kenya,7107,Western Facility 665,Clinic,49,11,48,15965,17,"196,910",No,No,73.7,19.9,Urban
Northern Ghana,Ghana,4674,Northern Facility 666,Hospital,86,2,27,16948,37,"36,520",No,No,87.5,8.6,Rural
Eastern Rwanda,Rwanda,8626,Eastern Facility 667,Clinic,43,20,16,18859,8,"50,780",No,Yes,63,7.3,Urban
Eastern Rwanda,Rwanda,4446,Eastern Facility 668,Health Center,77,17,28,7846,18,"99,299",Yes,Yes,64.3,7.2,Rural
Central Senegal,Senegal,3944,Central Facility 669,Hospital,68,7,11,11214,34,"158,630",Yes,Yes,73.8,15.7,Rural
Southern Zambia,Zambia,6124,Southern Facility 670,Health Center,28,15,16,1689,32,"115,209",No,Yes,72.8,10.7,Urban
Central Senegal,Senegal,747,Central Facility 671,Clinic,51,14,28,13978,21,"76,288",Yes,Yes,66.1,19.3,Rural
Western Uganda,Uganda,4574,Western Facility 672,Health Center,79,12,15,12567,49,"112,967",No,Yes,60,5.4,Rural
Eastern Rwanda,Rwanda,2174,Eastern Facility 673,Health Center,79,6,19,8300,46,"57,020",No,No,61.3,11.2,Rural
Northern Ghana,Ghana,3242,Northern Facility 674,Hospital,93,14,44,12148,12,"28,530",No,No,66.8,4.9,Rural
Western Kenya,Kenya,3300,Western Facility 675,Hospital,69,12,14,16331,18,"161,102",No,No,87.7,7.2,Rural
Northern Ghana,Ghana,8440,Northern Facility 676,Hospital,37,7,48,17977,59,"41,007",Yes,No,66.6,17.3,Urban
Eastern Ethiopia,Ethiopia,8862,Eastern Facility 677,Health Center,59,18,15,15270,41,"97,256",No,Yes,72.2,17.5,Urban
Central Senegal,Senegal,3537,Central Facility 678,Clinic,50,4,45,10399,50,"165,809",Yes,Yes,89,7.7,Rural
Dar es Salaam,Tanzania,6972,Dar Facility 679,Health Center,41,16,50,17021,12,"73,744",Yes,Yes,86.3,11.5,Urban
Central Senegal,Senegal,8407,Central Facility 680,Hospital,57,14,24,10358,40,"157,121",Yes,Yes,85.3,19.3,Urban
Western Uganda,Uganda,5393,Western Facility 681,Health Center,13,14,29,2086,49,"81,483",Yes,Yes,64.1,11.4,Urban
Eastern Ethiopia,Ethiopia,6848,Eastern Facility 682,Hospital,40,2,32,19521,34,"123,958",No,Yes,81.2,4.9,Urban
Eastern Rwanda,Rwanda,6053,Eastern Facility 683,Hospital,94,17,16,17370,30,"126,320",Yes,No,67.2,1.9,Urban
Northern Ghana,Ghana,3276,Northern Facility 684,Health Center,64,20,47,18043,7,"92,639",Yes,Yes,76.2,13.9,Rural
Western Kenya,Kenya,8235,Western Facility 685,Clinic,43,12,36,11412,23,"166,091",No,Yes,63.8,8.6,Urban
Southern Zambia,Zambia,5102,Southern Facility 686,Clinic,75,20,29,16215,29,"28,537",No,No,87.4,11.2,Urban
Dar es Salaam,Tanzania,7949,Dar Facility 687,Health Center,39,4,17,5525,50,"169,065",No,No,84.5,7.3,Urban
Southern Zambia,Zambia,3731,Southern Facility 688,Health Center,73,16,11,1029,43,"90,554",Yes,No,72.9,19.6,Rural
Central Senegal,Senegal,9725,Central Facility 689,Clinic,45,9,15,9335,47,"10,467",Yes,No,64,16,Urban
Central Senegal,Senegal,7246,Central Facility 690,Health Center,43,11,20,4763,26,"118,776",No,No,64.6,15.8,Urban
Dar es Salaam,Tanzania,5016,Dar Facility 691,Health Center,90,13,35,19348,29,"170,759",Yes,No,76.3,15.5,Urban
Western Kenya,Kenya,7760,Western Facility 692,Health Center,83,5,45,9323,25,"138,845",No,No,75.5,7.2,Urban
Eastern Nigeria,Nigeria,4827,Eastern Facility 693,Health Center,9,14,20,8972,27,"190,523",Yes,No,92.2,19.7,Rural
Western Kenya,Kenya,1132,Western Facility 694,Hospital,50,15,40,12174,37,"131,276",No,Yes,70.5,4.3,Rural
Western Uganda,Uganda,2041,Western Facility 695,Hospital,40,14,27,3642,27,"134,178",No,No,68.9,8.5,Rural
Central Senegal,Senegal,5621,Central Facility 696,Clinic,77,3,7,17194,11,"75,410",No,No,93.5,8,Urban
Dar es Salaam,Tanzania,8906,Dar Facility 697,Health Center,38,2,30,3014,40,"43,868",No,Yes,72.5,10.7,Urban
Eastern Rwanda,Rwanda,7524,Eastern Facility 698,Clinic,62,16,16,17847,60,"53,785",No,No,72.5,19.5,Urban
Eastern Rwanda,Rwanda,3326,Eastern Facility 699,Health Center,50,11,28,6982,16,"190,658",No,No,82.7,1.4,Rural
Southern Zambia,Zambia,5600,Southern Facility 700,Health Center,31,15,31,9535,59,"188,234",Yes,No,62.3,18.2,Urban
Southern Zambia,Zambia,8875,Southern Facility 701,Clinic,58,13,28,18935,17,"119,995",No,Yes,65.1,7.9,Urban
Dar es Salaam,Tanzania,3177,Dar Facility 702,Hospital,89,12,28,3231,25,"143,385",No,Yes,83.3,11.5,Rural
Southern Zambia,Zambia,3148,Southern Facility 703,Hospital,98,8,26,17837,35,"16,146",No,Yes,94.6,16.2,Rural
Western Uganda,Uganda,7755,Western Facility 704,Hospital,86,20,25,18569,6,"23,208",No,Yes,63.7,4.6,Urban
Central Senegal,Senegal,8130,Central Facility 705,Hospital,33,2,46,4359,11,"17,162",No,Yes,79.5,16.2,Urban
Dar es Salaam,Tanzania,1868,Dar Facility 706,Hospital,14,1,22,4185,47,"176,733",No,No,70.2,15.1,Rural
Eastern Rwanda,Rwanda,2207,Eastern Facility 707,Hospital,11,6,12,13096,48,"124,328",No,No,72.8,18,Rural
Western Uganda,Uganda,3150,Western Facility 708,Clinic,50,2,6,17354,34,"128,940",Yes,Yes,60.4,2.4,Rural
Dar es Salaam,Tanzania,7816,Dar Facility 709,Hospital,26,3,28,19254,26,"101,738",Yes,No,94.5,6.5,Urban
Southern Zambia,Zambia,6917,Southern Facility 710,Hospital,45,4,34,6569,25,"97,285",No,No,85.8,12.7,Urban
Western Uganda,Uganda,8332,Western Facility 711,Health Center,87,16,6,8888,47,"42,176",Yes,No,62.1,15.3,Urban
Dar es Salaam,Tanzania,8572,Dar Facility 712,Clinic,40,7,9,16108,53,"131,168",No,Yes,63.1,6.9,Urban
Dar es Salaam,Tanzania,5340,Dar Facility 713,Hospital,32,4,14,17930,60,"85,815",No,No,74.7,19.6,Urban
Western Kenya,Kenya,649,Western Facility 714,Hospital,20,12,20,12421,47,"69,834",No,Yes,90.6,6.8,Rural
Dar es Salaam,Tanzania,2109,Dar Facility 715,Clinic,17,4,50,14000,53,"148,789",Yes,No,70.1,18.7,Rural
Central Malawi,Malawi,7547,Central Facility 716,Health Center,19,13,11,8803,30,"179,954",Yes,Yes,83.2,5.2,Urban
Western Kenya,Kenya,9535,Western Facility 717,Health Center,64,5,43,16158,28,"128,427",Yes,No,86.4,5.7,Urban
Central Malawi,Malawi,9790,Central Facility 718,Health Center,40,8,30,15258,24,"80,319",Yes,No,77.9,3.3,Urban
Western Uganda,Uganda,6058,Western Facility 719,Clinic,66,10,49,12690,26,"44,529",Yes,No,72.7,10.9,Urban
Eastern Nigeria,Nigeria,6696,Eastern Facility 720,Health Center,90,7,9,6698,32,"43,536",No,No,61.1,11.9,Urban
Central Malawi,Malawi,5479,Central Facility 721,Hospital,39,3,42,17164,58,"196,746",Yes,Yes,74.6,6.3,Urban
Central Senegal,Senegal,7258,Central Facility 722,Clinic,83,16,19,2431,47,"127,151",Yes,Yes,71.9,2.5,Urban
Western Kenya,Kenya,6556,Western Facility 723,Hospital,45,4,44,19611,14,"144,091",Yes,No,82.5,10.4,Urban
Southern Zambia,Zambia,6819,Southern Facility 724,Health Center,93,8,43,13208,6,"154,271",No,Yes,62.8,19.5,Urban
Northern Ghana,Ghana,916,Northern Facility 725,Clinic,69,7,47,9478,19,"114,286",No,Yes,67.2,10.1,Rural
Central Senegal,Senegal,7538,Central Facility 726,Clinic,26,5,40,19959,25,"26,086",Yes,Yes,85.1,18.9,Urban
Eastern Rwanda,Rwanda,5060,Eastern Facility 727,Clinic,63,18,44,14771,55,"103,673",No,No,63.7,19.9,Urban
Southern Zambia,Zambia,6876,Southern Facility 728,Clinic,37,13,36,11976,46,"169,613",No,Yes,68.8,11.6,Urban
Eastern Ethiopia,Ethiopia,9674,Eastern Facility 729,Clinic,71,19,17,17254,30,"23,894",Yes,No,88.7,11.7,Urban
Eastern Rwanda,Rwanda,4388,Eastern Facility 730,Hospital,49,15,40,1320,16,"70,894",Yes,Yes,72.6,9.3,Rural
Northern Ghana,Ghana,7765,Northern Facility 731,Clinic,64,1,5,15272,56,"173,992",No,No,91.5,5.6,Urban
Eastern Nigeria,Nigeria,9130,Eastern Facility 732,Clinic,43,5,22,14587,53,"145,556",Yes,No,68.4,6.2,Urban
Northern Ghana,Ghana,7502,Northern Facility 733,Health Center,12,10,7,12533,10,"114,206",No,Yes,77.6,14.3,Urban
Western Uganda,Uganda,2222,Western Facility 734,Clinic,84,12,24,13449,53,"126,377",No,No,91.6,9.7,Rural
Eastern Rwanda,Rwanda,3363,Eastern Facility 735,Hospital,73,3,10,10372,39,"10,954",Yes,No,64.5,15.4,Rural
Central Malawi,Malawi,2884,Central Facility 736,Clinic,25,11,29,2455,53,"127,840",No,Yes,66.6,17.4,Rural
Southern Zambia,Zambia,8679,Southern Facility 737,Health Center,70,6,11,14749,25,"181,564",Yes,No,74.9,2.6,Urban
Western Kenya,Kenya,7396,Western Facility 738,Hospital,57,1,10,18973,50,"40,424",Yes,No,92.2,19.8,Urban
Eastern Nigeria,Nigeria,2458,Eastern Facility 739,Health Center,19,4,30,10236,29,"32,365",No,No,81.1,13.6,Rural
Eastern Nigeria,Nigeria,4540,Eastern Facility 740,Clinic,52,19,13,17910,57,"117,707",No,No,85.6,5.3,Rural
Western Kenya,Kenya,5085,Western Facility 741,Health Center,21,3,32,3190,7,"117,427",No,No,73.7,9.8,Urban
Western Kenya,Kenya,3810,Western Facility 742,Clinic,89,18,8,5732,43,"165,935",Yes,No,85.1,1.2,Rural
Western Uganda,Uganda,3116,Western Facility 743,Hospital,57,4,37,7123,14,"71,919",No,Yes,67.6,2.7,Rural
Northern Ghana,Ghana,2173,Northern Facility 744,Hospital,21,11,7,6338,42,"156,744",No,Yes,79,11.6,Rural
Western Kenya,Kenya,5878,Western Facility 745,Hospital,91,6,41,4450,32,"181,138",No,No,86.6,9.8,Urban
Southern Zambia,Zambia,8526,Southern Facility 746,Clinic,50,2,39,7014,57,"191,570",Yes,Yes,72,13,Urban
Northern Ghana,Ghana,3827,Northern Facility 747,Hospital,37,4,38,12017,60,"34,891",No,No,74.2,18.7,Rural
Eastern Rwanda,Rwanda,1542,Eastern Facility 748,Health Center,21,13,41,19471,16,"57,342",Yes,Yes,74.2,10.7,Rural
Central Senegal,Senegal,9800,Central Facility 749,Health Center,28,4,15,13159,46,"131,419",Yes,Yes,92.2,14,Urban
Eastern Ethiopia,Ethiopia,9362,Eastern Facility 750,Hospital,66,17,16,1180,56,"141,736",Yes,No,82.7,8.2,Urban
Central Malawi,Malawi,2105,Central Facility 751,Clinic,36,5,38,19669,34,"91,924",No,Yes,92.4,14.8,Rural
Eastern Nigeria,Nigeria,7503,Eastern Facility 752,Health Center,56,7,19,3709,45,"174,068",Yes,Yes,77.7,3.3,Urban
Dar es Salaam,Tanzania,1637,Dar Facility 753,Clinic,14,10,30,12432,20,"57,580",No,No,66.6,17.3,Rural
Central Malawi,Malawi,7825,Central Facility 754,Health Center,28,2,42,19707,55,"67,250",No,Yes,70.3,9.6,Urban
Eastern Rwanda,Rwanda,3875,Eastern Facility 755,Health Center,36,13,50,19950,37,"128,560",No,No,92,14.1,Rural
Dar es Salaam,Tanzania,6174,Dar Facility 756,Health Center,87,11,36,8939,31,"75,359",Yes,Yes,77.9,7.5,Urban
Eastern Ethiopia,Ethiopia,1269,Eastern Facility 757,Health Center,52,1,28,11098,56,"167,312",No,Yes,73.6,14.1,Rural
Dar es Salaam,Tanzania,6157,Dar Facility 758,Clinic,65,7,24,7319,13,"177,202",Yes,Yes,66.7,2.5,Urban
Eastern Nigeria,Nigeria,9132,Eastern Facility 759,Hospital,51,6,18,19775,28,"40,898",Yes,Yes,67.3,15.6,Urban
Central Senegal,Senegal,9087,Central Facility 760,Clinic,78,14,31,4052,58,"179,419",Yes,Yes,80.1,2.1,Urban
Western Kenya,Kenya,9091,Western Facility 761,Clinic,28,17,19,3979,45,"85,571",Yes,No,86.9,12,Urban
Western Uganda,Uganda,9706,Western Facility 762,Clinic,11,16,5,3306,39,"144,549",No,Yes,64.2,13.8,Urban
Eastern Ethiopia,Ethiopia,2049,Eastern Facility 763,Clinic,78,7,30,12924,6,"48,238",Yes,No,64.7,11.5,Rural
Eastern Rwanda,Rwanda,9278,Eastern Facility 764,Health Center,95,18,35,4583,9,"163,845",No,No,91.8,8.8,Urban
Northern Ghana,Ghana,3376,Northern Facility 765,Clinic,71,20,31,13466,6,"142,410",Yes,No,82.2,11.4,Rural
Eastern Nigeria,Nigeria,2606,Eastern Facility 766,Health Center,39,8,43,14853,32,"101,951",No,Yes,85.8,15.2,Rural
Southern Zambia,Zambia,6097,Southern Facility 767,Clinic,88,6,21,19452,29,"49,281",No,Yes,73.6,3.1,Urban
Northern Ghana,Ghana,2829,Northern Facility 768,Health Center,61,6,20,4730,57,"114,748",Yes,No,73.3,19.2,Rural
Central Malawi,Malawi,2971,Central Facility 769,Clinic,64,14,47,1363,49,"153,506",Yes,No,72.6,18.8,Rural
Eastern Nigeria,Nigeria,5421,Eastern Facility 770,Clinic,20,2,14,13187,23,"120,030",Yes,No,80.4,17.5,Urban
Southern Zambia,Zambia,2207,Southern Facility 771,Health Center,52,9,21,9009,17,"60,655",No,Yes,65.5,19.8,Rural
Northern Ghana,Ghana,1671,Northern Facility 772,Clinic,42,17,38,12188,36,"15,859",No,No,66.5,13.1,Rural
Eastern Nigeria,Nigeria,9375,Eastern Facility 773,Health Center,100,5,38,2856,55,"76,162",No,Yes,65.9,6.1,Urban
Dar es Salaam,Tanzania,5133,Dar Facility 774,Hospital,85,11,22,4276,31,"36,744",Yes,No,87.8,17.3,Urban
Central Senegal,Senegal,4701,Central Facility 775,Health Center,89,19,50,17218,7,"18,155",Yes,No,75.6,18.4,Rural
Eastern Rwanda,Rwanda,7450,Eastern Facility 776,Health Center,74,9,29,1496,10,"95,328",No,No,85.1,2.7,Urban
Central Malawi,Malawi,5606,Central Facility 777,Health Center,68,3,32,13539,45,"93,164",No,Yes,66.9,4,Urban
Central Malawi,Malawi,1999,Central Facility 778,Hospital,49,18,19,11478,37,"112,673",Yes,Yes,70.9,8.2,Rural
Southern Zambia,Zambia,9153,Southern Facility 779,Health Center,86,10,31,10409,50,"81,137",No,Yes,64.2,18.1,Urban
Western Kenya,Kenya,1423,Western Facility 780,Health Center,86,1,13,15167,59,"93,489",Yes,No,91.9,12,Rural
Eastern Nigeria,Nigeria,6460,Eastern Facility 781,Health Center,48,18,13,2061,26,"189,647",Yes,Yes,68.1,11.8,Urban
Eastern Ethiopia,Ethiopia,1622,Eastern Facility 782,Clinic,60,5,44,4125,14,"15,505",No,No,65.8,18.9,Rural
Southern Zambia,Zambia,4646,Southern Facility 783,Hospital,25,15,34,4349,26,"174,659",Yes,No,78.4,2.5,Rural
Central Malawi,Malawi,4757,Central Facility 784,Hospital,65,12,48,8195,25,"73,150",Yes,No,91,5.1,Rural
Eastern Rwanda,Rwanda,5005,Eastern Facility 785,Hospital,25,4,25,6390,43,"183,505",Yes,Yes,85.8,15.2,Urban
Eastern Nigeria,Nigeria,5451,Eastern Facility 786,Clinic,55,15,41,11595,53,"123,583",Yes,Yes,63.1,1.2,Urban
Eastern Rwanda,Rwanda,7500,Eastern Facility 787,Hospital,100,16,26,13786,34,"56,886",No,Yes,83.6,12.7,Urban
Northern Ghana,Ghana,4062,Northern Facility 788,Health Center,70,10,23,7437,24,"71,644",Yes,No,79.7,1.6,Rural
Eastern Rwanda,Rwanda,5485,Eastern Facility 789,Health Center,45,14,6,5961,18,"42,974",Yes,No,81.3,16.7,Urban
Western Uganda,Uganda,7748,Western Facility 790,Health Center,92,14,21,9502,16,"126,869",No,No,71.1,10.4,Urban
Southern Zambia,Zambia,9075,Southern Facility 791,Clinic,5,12,12,3940,13,"98,768",Yes,Yes,92.9,14,Urban
Central Malawi,Malawi,8379,Central Facility 792,Clinic,38,15,15,11859,8,"107,717",Yes,No,74.1,6.9,Urban
Central Senegal,Senegal,7033,Central Facility 793,Health Center,65,18,33,12296,59,"31,708",Yes,No,62.6,12.6,Urban
Dar es Salaam,Tanzania,9442,Dar Facility 794,Health Center,60,4,18,9731,5,"30,185",Yes,Yes,91.8,17.1,Urban
Southern Zambia,Zambia,8429,Southern Facility 795,Hospital,23,17,8,11004,58,"74,066",Yes,Yes,76.8,7.6,Urban
Western Uganda,Uganda,2549,Western Facility 796,Hospital,88,9,20,9235,47,"165,592",No,No,87.8,9.3,Rural
Central Senegal,Senegal,3888,Central Facility 797,Hospital,96,12,17,4125,21,"149,859",No,Yes,79.4,16.9,Rural
Eastern Nigeria,Nigeria,1867,Eastern Facility 798,Health Center,38,3,44,8579,52,"21,993",Yes,Yes,83,13.8,Rural
Dar es Salaam,Tanzania,7112,Dar Facility 799,Clinic,79,2,10,1027,25,"38,039",Yes,Yes,74,8.2,Urban
Western Kenya,Kenya,2700,Western Facility 800,Hospital,55,14,47,5687,46,"22,108",No,No,66.1,10.2,Rural
Eastern Rwanda,Rwanda,4202,Eastern Facility 801,Clinic,84,10,41,19593,36,"15,910",No,No,77.1,15.3,Rural
Eastern Nigeria,Nigeria,8537,Eastern Facility 802,Health Center,87,17,13,1915,48,"10,620",Yes,Yes,71.1,7.6,Urban
Western Uganda,Uganda,7337,Western Facility 803,Clinic,21,17,16,10865,24,"124,141",No,No,86.3,13.6,Urban
Dar es Salaam,Tanzania,3209,Dar Facility 804,Clinic,41,20,10,11488,12,"182,445",No,No,85.7,19.5,Rural
Central Senegal,Senegal,5928,Central Facility 805,Hospital,78,6,37,13730,5,"45,151",No,Yes,77.8,6.6,Urban
Dar es Salaam,Tanzania,2656,Dar Facility 806,Clinic,65,11,37,15240,15,"66,289",No,No,76.6,8.6,Rural
Western Uganda,Uganda,4801,Western Facility 807,Hospital,37,6,16,7581,52,"104,059",No,Yes,71.7,7.6,Rural
Central Senegal,Senegal,837,Central Facility 808,Clinic,98,1,32,7604,59,"99,366",Yes,Yes,82,9.8,Rural
Western Uganda,Uganda,1325,Western Facility 809,Health Center,25,16,17,7321,12,"103,022",Yes,Yes,86.5,9.8,Rural
Eastern Ethiopia,Ethiopia,5953,Eastern Facility 810,Health Center,94,5,33,4602,51,"187,593",Yes,No,70.8,7.2,Urban
Central Malawi,Malawi,1888,Central Facility 811,Health Center,77,2,48,5339,55,"23,939",No,No,76.8,1.2,Rural
Eastern Ethiopia,Ethiopia,6111,Eastern Facility 812,Hospital,54,12,48,11835,17,"17,338",Yes,Yes,84.5,4.6,Urban
Dar es Salaam,Tanzania,3544,Dar Facility 813,Health Center,56,15,22,17632,32,"127,261",No,No,94.6,1.3,Rural
Southern Zambia,Zambia,4007,Southern Facility 814,Clinic,57,10,6,7479,14,"192,793",No,Yes,66.3,15.6,Rural
Eastern Ethiopia,Ethiopia,1994,Eastern Facility 815,Hospital,78,13,9,12890,54,"183,969",No,Yes,62.6,10.7,Rural
Eastern Nigeria,Nigeria,6018,Eastern Facility 816,Clinic,76,18,33,7046,32,"114,711",No,No,86.2,15.6,Urban
Dar es Salaam,Tanzania,4745,Dar Facility 817,Hospital,14,8,29,13410,55,"94,223",Yes,Yes,88.2,10.4,Rural
Central Malawi,Malawi,8680,Central Facility 818,Hospital,10,10,49,9657,26,"101,473",Yes,No,89.9,9.8,Urban
Eastern Rwanda,Rwanda,7640,Eastern Facility 819,Hospital,79,9,5,16752,8,"125,861",Yes,No,77.8,11.9,Urban
Eastern Ethiopia,Ethiopia,9894,Eastern Facility 820,Hospital,33,1,13,12291,21,"192,174",No,Yes,61.5,8.8,Urban
Eastern Rwanda,Rwanda,6821,Eastern Facility 821,Health Center,55,12,37,13801,51,"102,813",No,Yes,88.2,15.8,Urban
Southern Zambia,Zambia,5165,Southern Facility 822,Hospital,39,1,45,4953,5,"175,099",Yes,Yes,90,9.2,Urban
Northern Ghana,Ghana,7705,Northern Facility 823,Hospital,66,10,49,15758,58,"152,320",No,Yes,70.8,11.5,Urban
Northern Ghana,Ghana,1915,Northern Facility 824,Hospital,84,7,28,3660,49,"122,649",Yes,No,71.8,11.9,Rural
Eastern Rwanda,Rwanda,931,Eastern Facility 825,Health Center,40,9,20,12921,21,"127,048",No,No,65.2,6.6,Rural
Eastern Rwanda,Rwanda,4285,Eastern Facility 826,Hospital,60,2,22,4582,33,"151,314",Yes,No,87.9,6.5,Rural
Central Senegal,Senegal,8318,Central Facility 827,Hospital,75,6,37,11535,18,"44,580",No,Yes,80,12.8,Urban
Western Uganda,Uganda,4641,Western Facility 828,Health Center,44,12,17,18579,56,"167,933",No,Yes,75.7,15.1,Rural
Northern Ghana,Ghana,1278,Northern Facility 829,Clinic,74,3,11,9613,34,"58,747",Yes,No,60.6,18.6,Rural
Western Kenya,Kenya,6306,Western Facility 830,Clinic,63,9,19,7986,15,"78,382",Yes,Yes,80.1,15.5,Urban
Eastern Nigeria,Nigeria,6273,Eastern Facility 831,Health Center,24,20,8,11245,22,"15,164",No,No,84.6,6.6,Urban
Eastern Rwanda,Rwanda,1946,Eastern Facility 832,Health Center,56,18,37,3380,53,"133,555",No,Yes,86.2,10.6,Rural
Southern Zambia,Zambia,2039,Southern Facility 833,Health Center,91,9,38,9207,59,"80,449",Yes,Yes,83.1,4.3,Rural
Eastern Ethiopia,Ethiopia,9822,Eastern Facility 834,Clinic,46,18,23,13735,30,"100,204",Yes,No,75.5,6.5,Urban
Central Malawi,Malawi,6158,Central Facility 835,Clinic,49,19,13,18279,30,"168,148",No,No,62.1,1.7,Urban
Western Kenya,Kenya,3233,Western Facility 836,Hospital,43,16,30,16467,23,"42,804",No,No,73.5,6,Rural
Southern Zambia,Zambia,6654,Southern Facility 837,Health Center,89,7,31,13265,27,"76,061",Yes,Yes,92.2,9.4,Urban
Southern Zambia,Zambia,5320,Southern Facility 838,Hospital,34,9,23,7254,14,"14,722",No,Yes,79.5,19.6,Urban
Central Malawi,Malawi,6805,Central Facility 839,Hospital,71,19,20,6609,42,"11,396",Yes,No,91.8,19.1,Urban
Eastern Rwanda,Rwanda,4811,Eastern Facility 840,Hospital,95,4,28,17762,9,"139,674",No,No,93.2,5,Rural
Western Kenya,Kenya,4809,Western Facility 841,Clinic,56,10,5,14921,48,"53,888",Yes,Yes,72.9,14.1,Rural
Southern Zambia,Zambia,6281,Southern Facility 842,Health Center,5,19,5,9618,36,"142,848",Yes,No,93.2,2.3,Urban
Southern Zambia,Zambia,2781,Southern Facility 843,Clinic,96,18,17,19346,36,"118,741",No,No,78.8,16.5,Rural
Western Kenya,Kenya,7966,Western Facility 844,Health Center,19,15,46,16533,21,"23,925",Yes,Yes,67.8,15.4,Urban
Eastern Rwanda,Rwanda,5405,Eastern Facility 845,Health Center,26,7,22,11997,22,"168,172",No,Yes,70.4,11.4,Urban
Southern Zambia,Zambia,5793,Southern Facility 846,Health Center,31,7,8,18419,31,"144,224",Yes,No,64.4,7.7,Urban
Central Malawi,Malawi,3610,Central Facility 847,Hospital,81,7,32,11450,49,"54,315",No,No,63.4,15.8,Rural
Eastern Ethiopia,Ethiopia,6820,Eastern Facility 848,Clinic,38,8,24,2045,52,"50,708",No,No,83.9,10.5,Urban
Northern Ghana,Ghana,7877,Northern Facility 849,Clinic,63,6,35,16660,30,"104,406",No,No,61,16,Urban
Western Uganda,Uganda,6890,Western Facility 850,Clinic,77,8,33,10711,49,"198,515",No,No,78.5,9.9,Urban
Western Uganda,Uganda,8361,Western Facility 851,Clinic,97,10,19,18874,59,"67,397",No,Yes,90.1,14.6,Urban
Eastern Rwanda,Rwanda,1513,Eastern Facility 852,Hospital,94,6,46,15778,32,"111,161",Yes,No,81.9,4.6,Rural
Northern Ghana,Ghana,8521,Northern Facility 853,Health Center,54,7,17,7522,8,"160,559",No,Yes,64.4,2.8,Urban
Central Senegal,Senegal,3965,Central Facility 854,Hospital,35,19,21,8757,10,"73,323",No,Yes,72.8,1.3,Rural
Western Uganda,Uganda,3104,Western Facility 855,Health Center,70,7,47,6547,31,"127,811",Yes,Yes,88.2,15.7,Rural
